2026-05-29 06:02:42 | INFO     | main | Waiting 1 min for next cycle...
2026-05-29 06:02:42 | INFO     | main | 
############################################################
2026-05-29 06:02:42 | INFO     | main |   CYCLE #20
2026-05-29 06:02:42 | INFO     | main | ############################################################
2026-05-29 06:02:42 | INFO     | src.controllers.trading_controller | ========================================
Cycle #20
2026-05-29 06:02:42 | INFO     | src.services.strategy_service |   Breakout: return=-0.08%, trades=60, wr=33.3%
2026-05-29 06:02:43 | INFO     | src.services.strategy_service |   MA_Crossover: return=0.02%, trades=92, wr=39.1%
2026-05-29 06:02:43 | INFO     | src.services.strategy_service |   RSI: return=0.01%, trades=12, wr=50.0%
2026-05-29 06:02:43 | INFO     | src.services.strategy_service |   MACD: return=-0.31%, trades=226, wr=28.3%
2026-05-29 06:02:43 | INFO     | src.services.strategy_service |   Bollinger: return=-0.25%, trades=108, wr=61.1%
2026-05-29 06:02:43 | INFO     | src.services.strategy_service | Regime: CHOPPY
2026-05-29 06:02:43 | INFO     | src.services.strategy_service | Best strategy: RSI (weighted: 0.01)
2026-05-29 06:02:43 | INFO     | src.controllers.trading_controller | Signal: HOLD
2026-05-29 06:02:43 | INFO     | main | Cycle 20 completed: HOLD
2026-05-29 06:02:43 | INFO     | main | Waiting 1 min for next cycle...
2026-05-29 06:02:43 | INFO     | main | 
############################################################
2026-05-29 06:02:43 | INFO     | main |   CYCLE #21
2026-05-29 06:02:43 | INFO     | main | ############################################################
2026-05-29 06:02:43 | INFO     | src.controllers.trading_controller | ========================================
Cycle #21
2026-05-29 06:02:44 | INFO     | src.services.strategy_service |   Breakout: return=-0.08%, trades=60, wr=33.3%
2026-05-29 06:02:44 | INFO     | src.services.strategy_service |   MA_Crossover: return=0.02%, trades=92, wr=39.1%
2026-05-29 06:02:44 | INFO     | src.services.strategy_service |   RSI: return=0.01%, trades=12, wr=50.0%
2026-05-29 06:02:44 | INFO     | src.services.strategy_service |   MACD: return=-0.31%, trades=226, wr=28.3%
2026-05-29 06:02:45 | INFO     | src.services.strategy_service |   Bollinger: return=-0.25%, trades=108, wr=61.1%
2026-05-29 06:02:45 | INFO     | src.services.strategy_service | Regime: CHOPPY
2026-05-29 06:02:45 | INFO     | src.services.strategy_service | Best strategy: RSI (weighted: 0.01)
2026-05-29 06:02:45 | INFO     | src.controllers.trading_controller | Signal: HOLD
2026-05-29 06:02:45 | INFO     | main | Cycle 21 completed: HOLD
2026-05-29 06:02:45 | INFO     | main | Waiting 1 min for next cycle...
2026-05-29 06:02:45 | INFO     | main | 
############################################################
2026-05-29 06:02:45 | INFO     | main |   CYCLE #22
2026-05-29 06:02:45 | INFO     | main | ############################################################
2026-05-29 06:02:45 | INFO     | src.controllers.trading_controller | ========================================
Cycle #22
2026-05-29 06:02:45 | INFO     | src.services.strategy_service |   Breakout: return=-0.08%, trades=60, wr=33.3%
2026-05-29 06:02:45 | INFO     | src.services.strategy_service |   MA_Crossover: return=0.02%, trades=92, wr=39.1%
2026-05-29 06:02:46 | INFO     | src.services.strategy_service |   RSI: return=0.01%, trades=12, wr=50.0%
